"","Adrenal::CPCT02030502T","Adrenal::CPCT02070337T","Adrenal::POG570_P18843","Anus::CPCT02060023T","Anus::CPCT02060125T","Anus::CPCT02070050T","Anus::CPCT02090028T","Anus::CPCT02090054T","Anus::CPCT02130094T","Anus::CPCT02140036T"
"hdp.1",21.799079,34.866632,22.011069,0,0,0,68.691421,0,0,0
"hdp.2",0,3.8403,0,0,0,29.808323,39.67811,231.396175,0,63.886765
"hdp.3",1.008629,0,0,0,0,0,2.968951,0.627503,0,0
"hdp.4",15.723233,8.878099,0.289356,155.932659,203.316147,16.496045,14.063516,87.119089,146.405783,28.479248
"hdp.5",0,0.217568,0,0,0,0,2.19589,0,0,0
"hdp.6",0,0,3.459245,0,1.683853,1.294408,3.933282,0,6.724326,0
"hdp.7",0,0,0,0,0,0,0,0,0,0
"hdp.8",0,1.506158,0.859799,11.604373,0,0,18.22178,9.536823,4.2305,0
"hdp.9",0.689526,0,0.660631,0,0,44.735274,1.967757,96.515953,3.026489,48.781978
"hdp.10",0,0,0,0,0,0.741138,0,8.217008,0,0
"hdp.11",0,0,2.306142,0.920967,0,29.352908,0,5.955156,12.965127,0
"hdp.12",0,0,0,0,0,19.246863,0,18.522257,0,0
"hdp.13",0.511752,0.28057,0,0,0,7.285069,0,8.046722,0,0
"hdp.14",3.885685,2.344065,0,0,0,0,0.511767,0,0.565189,0
"hdp.15",0,0,0,0,0,4.606407,0,23.693651,0,24.748724
"hdp.16",8.046649,7.154377,17.140877,0,0,0,5.188252,1.654896,0,0
"hdp.17",0,0,0,0,0,0,0,0,0,0
"hdp.18",0,0,0,0,0,0,0,0,4.356818,0
"hdp.19",0,0,0.272881,2.542,0,0,0,0,0,0
"potential hdp.1",0,0,0,0,0,0,0,0,0,0
"potential hdp.2",1.232219,5.385287,0,0,0,5.935841,1.804437,46.32586,0,0
"potential hdp.3",4.103229,0.526944,0,0,0,0,0,71.022028,0,2.103285
"potential hdp.4",0,0,0,0,0,9.497725,58.774837,2.366879,8.725768,0
