"row.name","target.sig","bg.contribution","replicate","bg.count","target.count","inferred.bg.count","cos.sim","nloptr.iterations","cos.sim.of.mean.sig"
"row001","SBS40",0.1,1,1694,15671,1566.38062793222,0.999934010948166,25585,0.999998671791416
"row002","SBS40",0.1,2,1444,13197,1484.5572348001,0.999934010948166,25585,0.999998671791416
"row021","SBS40",0.5,1,1252,2040,1391.511452533,0.999499184975998,18395,0.999716804728133
"row022","SBS40",0.5,2,1535,1663,1570.49259537477,0.999499184975998,18395,0.999716804728133
"row041","SBS40",0.9,1,1341,108,1290.50323972639,0.956702431592093,8758,0.968274879498801
"row042","SBS40",0.9,2,2077,213,1555.49182720094,0.956702431592093,8758,0.968274879498801
"row061","SBS4",0.1,1,2368,18304,1796.3560634185,0.983337968146453,40000,0.99996349571342
"row062","SBS4",0.1,2,1371,16081,1252.51054367663,0.983337968146453,40000,0.99996349571342
"row081","SBS4",0.5,1,982,2201,1169.43218581141,0.993998802389484,37246,0.999137009531396
"row082","SBS4",0.5,2,1114,971,1195.63945856192,0.993998802389484,37246,0.999137009531396
"row101","SBS4",0.9,1,1693,231,1534.49549482787,0.970798554386256,21660,0.977418117229441
"row102","SBS4",0.9,2,1485,149,1387.49411446116,0.970798554386256,21660,0.977418117229441
"row121","SBS58",0.1,1,1108,10378,1238.08643194064,0.958082553483598,40000,0.999989439990594
"row122","SBS58",0.1,2,1423,17880,1534.58580221163,0.958082553483598,40000,0.999989439990594
"row141","SBS58",0.5,1,1187,1436,1034.49602449817,0.981522019648963,36593,0.998274259238394
"row142","SBS58",0.5,2,1671,1619,1442.56073677949,0.981522019648963,36593,0.998274259238394
"row161","SBS58",0.9,1,2241,142,1669.49396186903,0.748206914759638,18227,0.782231272451577
"row162","SBS58",0.9,2,1629,160,1242.51772609044,0.748206914759638,18227,0.782231272451577
"row181","SBS6",0.1,1,1794,9936,1369.20717749404,0.968720983560971,40000,0.99987252151855
"row182","SBS6",0.1,2,1430,16136,892.786645283245,0.968720983560971,40000,0.99987252151855
"row201","SBS6",0.5,1,1833,2595,899.502768007957,0.963422406851674,40000,0.989167696793501
"row202","SBS6",0.5,2,1279,1461,737.500587878475,0.963422406851674,40000,0.989167696793501
"row221","SBS6",0.9,1,1524,229,1202.51557223168,0.866499895335608,23656,0.891873257946106
"row222","SBS6",0.9,2,1256,191,997.513438049765,0.866499895335608,23656,0.891873257946106
